矩阵行号,原始样本序号,情感标签,情感含义,原始评论,预处理后文本,词项列号,对应词项,TF-IDF值,含义说明
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,14282,学徒,0.343614,第1行样本中，词汇表第14282列词项“学徒”的TF-IDF值为0.3436
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,40042,蔓延,0.319804,第1行样本中，词汇表第40042列词项“蔓延”的TF-IDF值为0.3198
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,2756,书呆子,0.305041,第1行样本中，词汇表第2756列词项“书呆子”的TF-IDF值为0.3050
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,12025,大佬,0.291764,第1行样本中，词汇表第12025列词项“大佬”的TF-IDF值为0.2918
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,358,一枚,0.28337,第1行样本中，词汇表第358列词项“一枚”的TF-IDF值为0.2834
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,39432,范儿,0.281037,第1行样本中，词汇表第39432列词项“范儿”的TF-IDF值为0.2810
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,46281,阿姨,0.581173,第2行样本中，词汇表第46281列词项“阿姨”的TF-IDF值为0.5812
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,4940,偶是,0.515446,第2行样本中，词汇表第4940列词项“偶是”的TF-IDF值为0.5154
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,45976,问答,0.2534,第2行样本中，词汇表第45976列词项“问答”的TF-IDF值为0.2534
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,12160,大学生,0.235218,第2行样本中，词汇表第12160列词项“大学生”的TF-IDF值为0.2352
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,8800,发给,0.231873,第2行样本中，词汇表第8800列词项“发给”的TF-IDF值为0.2319
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,35273,社区,0.2248,第2行样本中，词汇表第35273列词项“社区”的TF-IDF值为0.2248
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,15842,小盆友,0.223782,第2行样本中，词汇表第15842列词项“小盆友”的TF-IDF值为0.2238
2,6,1,积极,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈],问答 社区 收到 大学生 发给 私信 偶 喜欢 阿姨 偶是 阿姨 控 回 阿姨 稀饭 小盆友 偶是 小盆友控,35787,稀饭,0.219202,第2行样本中，词汇表第35787列词项“稀饭”的TF-IDF值为0.2192
